translate;full_text;label
"> Tweet “Saya salah tentang segalanya. Black Lives Matter, Trans Hak adalah Hak Asasi Manusia, Persetan Elon ”
> Atur telepon untuk bergetar dan mendorong pantat
> streaming langsung saya menonjol ke Elon Musk telanjang sampai jantung saya tidak tahan lagi dan mengalami henti jantung
";"> tweet “I was wrong about everything. black lives matter, trans rights are human rights, fuck elon”
>set phone to vibrate and shove up ass
> livestream myself gooning to elon musk naked until my heart can’t take it anymore and goes into cardiac arrest
";negatif
Saya tidak hanya akan meninggalkan Twitter, saya akan meninggalkan AS dan pindah ke Hawaii jika Elon Musk tidak mengundurkan diri. Dia merusak aplikasi ini! Saya akan pergi malam ini;Iâ€™m not only going to be leaving Twitter, Iâ€™ll be leaving the US and moving to Hawaii if Elon musk doesnâ€™t resign. He ruined this app! Iâ€™m leaving tonight;negatif
Mereka selalu menggali kotoran. https://t.co/eqercacxb6;They are always digging for dirt. https://t.co/eQERCacXB6;negatif
Anda adalah elon idiot .... duduklah.;You're an idiot Elon....take a seat.;negatif
Apakah dia sebenarnya bodoh? Apakah dia benar -benar percaya kuda ini?;Is he actually this stupid? Does he really believe this horseshit?;negatif
"Hanya mengatakan itu! ""Bagaimana seekor idiot saat meminta bantuan satu miliar!"" Maaf 4,9 miliar dolar! #ElonMusk";"Just saying tho! ""How an idiot looks like while asking for a billion in aid!"" Sorry 4.9 billion dollars! #ElonMusk";negatif
"Idiot Elon tidak menggunakan ide untuk mengatakan ""Xanniversary"" yang telah saya ikuti di sini terlalu lama (dan juga 2 hari terlambat LMAO) #myxanniversary";Idiot Elon didn’t use the idea to say “Xanniversary” I’ve been on here for too long (and also 2 days late LMAO) #MyXAnniversary;negatif
Elon adalah pria kecil yang marah dengan trauma masa kecil. Dia idiot yang tidak bahagia, yang mencoba mengganti kompleksnya dengan uang, anak perempuan dan kebencian. Tapi dia tetap menyedihkan dan menyedihkan;Elon is a little angry man with childhood trauma. He is unhappy idiot, who is trying to replace his complexes with money, girls and hatred. But he remain pathetic and pitiful;negatif
Jawabannya selalu ya. Elon Musk persis sebodohnya, karena pria itu adalah orang idiot yang gagal atas kekayaan generasi, dan setiap pecundang yang tidak mampu dari akal sehat dasar memandangnya sebagai dewa mereka.;The answer is always yes. Elon Musk is exactly as stupid as he sounds, because the man is a fucking idiot who's failed upwards off generational wealth, and every loser who's incapable of basic common sense looks to him as their god.;negatif
Saya pikir itu agak tidak adil. Dia secara sah dalam manipulasi stok.;I think that’s a bit unfair. He’s legitimately good at stock manipulation.;negatif
Siapa yang ingat ibu atau nenek mereka mengenakan alat -alat ini? Syukurlah model ini dilakukan dan ditaburi sebelum itu adalah waktu saya untuk 'mengikat' â˜ºï¸ ðÿ˜ ‚https://t.co/jpzmlwckpx;Who remembers their mum or grandma wearing these conTRAPtions? Thankfully this model was done n dusted before it was my time to 'strap up' â˜ºï¸ðŸ˜‚ https://t.co/jPZmlWcKPX;negatif
Payudara wanita tidak runcing. Pada. semua. Suka bahkan tidak sedikit.;womens breasts arent pointy. At. all. like not even a little bit.;negatif
Elon Musk adalah badut bodoh yang sangat. Lihatlah orang jahat rasis ini mengenakan topi koboi ke belakang. Jijik. Dia terlalu tidak mengerti untuk menyadari betapa memalukannya dia. Total Poser. Betapa bodohnya bajingan yang menakutkan. Persetan denganmu;Elon Musk is such a fucking moron clown. Look at this racist goon wearing his cowboy hat backwards. Cringe. He’s too clueless to realize how embarrassing he is. Total poser. What a stupid fearmongering scumbag. Fuck you;negatif
Yah, saya punya kabar buruk. Elon Musk berlangganan validls. Ini jaminan validls ini tidak akan dilarang. Saya hanya muak dengan situs web bodoh ini. Saya akan pindah ke Bluesky segera setelah saya mendapatkan kode undangan. Saya sarankan Anda semua melakukan hal yang sama. Situs ini akan segera mati.;Well, I have bad news. Elon Musk is subscribed to ValidLs. This pretty much guarantees ValidLs won't be banned. I'm just sick of this stupid fucking website. I'm gonna move to Bluesky as soon as I get an invite code. I suggest you all do the same. This site is gonna die soon.;negatif
Perusahaan Elon Musk dibangun di atas penjualan bersubsidi. Tesla adalah mobil sial, berbahaya seperti f@#£. Namun pemerintah di seluruh Eropa dan di tempat lain memberikan subsidi bodoh untuk meningkatkan penjualan omong kosong yang tidak masuk akal. Saya tidak akan pernah menghabiskan 1 sen untuk apa pun yang dimiliki oleh pria ini.;Elon Musk's companies are build on subsidised sales. Tesla's are shit cars, dangerous as f@#£. Yet governments all over Europe and elsewhere give stupid subsidies to increase sales of stupid ass selfdriving nonsense. I will never ever spend 1 cent on anything owned by this guy.;negatif
Siapa yang ingin membantu saya membuat server perselisihan jika Elon membuat orang membayar untuk situs bodoh ini?;Who wants to help me make a discord server in case Elon makes people pay for this stupid site?;negatif
Elon benar -benar kehilangan itu. Dia tidak peduli sedikit pun tentang keamanan kita di Eropa. Atau menghentikan genosida. Mengapa kita harus membeli mobilnya? Atau membeli langganan x bodoh?;Elon has totally lost it. He does not care one bit about our security in Europe. Or stopping genocide. Why should we buy his cars? Or buy stupid X subscriptions?;negatif
Ini bodoh sekali. Elon membuat pembaruan paling bodoh dan terburuk diketahui manusia.;This is fucking stupid. Elon makes the stupidest and worst updates known to man.;negatif
Baca artikel baru ini. Guys ... bercinta suci adalah Elon bodoh dan jahat dan anti-Semit. Itu bahkan lebih buruk dari yang kita kira. Dia sangat mudah disarankan. Seseorang mengiriminya teks yang memberinya buku pedoman dan ... ada baiknya membaca artikel ini. Fuck.;Read this new article. Guys...holy FUCK is Elon stupid and evil and anti-Semitic. It's even worse than we thought. He's so suggestible. Somebody sent him a text giving him the playbook and... it's worth reading this article. Fuck.;negatif
Pelacur di sini Elon Musk ini adalah seorang pengecut dan pembohong seperti itu orang -orang akan segera melihat betapa pengecutnya pelacur ini ... bahkan tidak bisa mengatakan sesuatu kepada beberapa pria yang mengolok -olok pantat pelacurnya dan ibunya yang bodoh, bisakah kamu bisa Tai ayam???;This Bitch here Elon Musk is so much of a coward and such a liar the people will soon see what a crooked coward this bitch is...Cant even say something to some man that makes fun of his bitch ass and his stupid mother can you chickenshit???;negatif
Persetan denganmu Elon. Aku bahkan tidak bisa mencoba berbicara dengan temanku karena pengelolaan bodohmu tidak bisa menghilangkan bot bodoh ini;fuck you elon. i can't even try to talk to my friend because your stupid managing can't eradicate these stupid bots;negatif
Persetan denganmu Elon dan sial x bodohmu.;fuck you elon and your stupid X shit.;negatif
Elon Musk benar -benar merupakan badai sempurna dari semua hal terburuk. Jahat, bodoh, narsis dan kuat;Elon musk really is the perfect storm of all the worst things. Evil, stupid, narcissistic and powerful;negatif
Oke, saya harus mengikuti semua orang lagi ... Saya sangat sedih karena saya mengikuti artis yang baik di akun lama saya sekarang semuanya hilang. Ya Tuhan, aku benci Elon;ok i need to follow everyone again… im so sad bc i was following sm good artists on my old account now its all gone . god i hate elon;negatif
Aku benci elon rt jadi aku mendapatkan mootiesku kembali;i hate elon rt so i get my mooties back;negatif
Seluruh dunia dapat melihat sendiri betapa kejamnya narsisis, Elon Musk. Maaf Anda harus mengalami omong kosong ini. Tetap aman saudaraku.;All the world can see for themselves what a cruel piece of shit narcissist elon musk is. Sorry you have to experience this crap. Stay safe my brother.;negatif
Perbaiki sialan Anda elon, kau payah pantat;FIX YOUR FUCKING SHIT ELON YOU SUCK ASS;negatif
Elon Musk akan turun dalam buku -buku sejarah sebagai salah satu pengkhianat dan penipuan terbesar dalam sejarah AS. Tragis bahwa sepotong kotoran yang mutlak diizinkan untuk * secara ilegal * berimigrasi ke AS.;Elon Musk will go down in the history books as one of the biggest traitors and frauds in US history. Tragic that such an absolute piece of shit was allowed to *illegally* immigrate into the US.;negatif
Elon adalah omong kosong. Dia benar -benar memiliki begitu banyak uang sehingga dia dapat dengan mudah menyelesaikan kelaparan dunia & berinvestasi di infrastruktur negara -negara dunia ke -3 - tetapi sebaliknya dia pergi ke perbatasan dan khawatir tentang orang miskin. Seorang pria kaya khawatir tentang orang miskin. Persetan denganmu Elon.;Elon is such a piece of shit. He literally has so much money he could easily solve world hunger & invest in 3rd world countries infrastructure - but instead he goes to the border and is worried about POOR people. A rich man WORRIED about POOR people. Fuck you Elon.;negatif
Jika Anda membayangi saya Elon, Anda menyebalkan dengan omong kosong nyata niggas marinir saya akan mendapatkannya kembali dalam darah jika Anda melakukan itu lil nigga;If you shadow ban me elon you's a bitch on some real shit My marine niggas will have it back in BLOOD if you do that lil nigga;negatif
Elon Musk adalah vagina dan aset Rusia. Bayangkan mengejek presiden suatu negara yang luar biasa (dan dengan perluasan rakyat negara itu) yang secara heroal membela diri dari genosida? Betapa fasisnya kotoran.;Elon Musk is a cunt and a russian asset. Imagine mocking the remarkable president of a country (and by extension that country's people) that is heroically defending itself from genocide? What a fascist piece of shit Musk is.;negatif
Tampaknya Twitter sudah mulai membersihkan akun lagi tanpa alasan. Perbaiki omong kosong Anda, Elon! Berhenti mengirim teman saya ke ranah bayangan;It seems that Twitter has started to purge accounts again for no reason. Fix your shit, Elon! STOP SENDING MY FRIENDS TO THE SHADOW REALM;negatif
Dalam satu minggu dua dari moots favorit saya disukai, saya benci tempat ini, saya membencimu elon, kau menghisap tuhan kamu mengerikan aku membencimu elon graaaaaaaaaaahhhhhh !!!!!;WITHIN ONE WEEK TWO OF MY FAVOURITE MOOTS WERE SUSSED I HATE THIS PLACE I HATE YOU ELON YOU SUCK GOD YOU ARE HORRIBLE I HATE YOU ELON GRAAAAAAAAAAHHHHHHH!!!!!;negatif
Elon Musk mendapat miliaran dari pemerintah untuk membantunya menjadi orang terkaya di dunia, & sekarang dia mengejek genosida di Ukraina. Dia benar -benar omong kosong raksasa. Batalkan kontraknya, mencabut izin keamanannya, & mendeportasi bajingan fasis malam ini.;Elon Musk got billions from the government to aid him in becoming the world’s richest person, & now he’s mocking the genocide in Ukraine. He is truly a gigantic piece of shit. Cancel his contracts, revoke his security clearance, & deport that fascist scumbag tonight.;negatif
